index,file,class,type,cbo_x,cboModified_x,fanin_x,fanout_x,wmc_x,dit,noc,rfc_x,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc_x,returnQty,loopQty_x,comparisonsQty_x,tryCatchQty_x,parenthesizedExpsQty_x,stringLiteralsQty_x,numbersQty_x,assignmentsQty_x,mathOperationsQty_x,variablesQty_x,maxNestedBlocksQty_x,anonymousClassesQty_x,innerClassesQty_x,lambdasQty_x,uniqueWordsQty_x,modifiers_x,logStatementsQty_x,method,constructor,line,cbo_y,cboModified_y,fanin_y,fanout_y,wmc_y,rfc_y,loc_y,returnsQty,variablesQty_y,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty_y,comparisonsQty_y,tryCatchQty_y,parenthesizedExpsQty_y,stringLiteralsQty_y,numbersQty_y,assignmentsQty_y,mathOperationsQty_y,maxNestedBlocksQty_y,anonymousClassesQty_y,innerClassesQty_y,lambdasQty_y,uniqueWordsQty_y,modifiers_y,logStatementsQty_y,hasJavaDoc,commit_hash,project_name
302,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,getNext/0,False,61.0,1.0,27.0,27.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,False,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
303,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,getAttribute/1[java.lang.Object],False,279.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
304,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,removeAllTargeters/0,False,189.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
305,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,getTargeters/0,False,226.0,2.0,4.0,3.0,1.0,2.0,3.0,8.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
306,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,InstructionHandle/1[org.apache.bcel.generic.Instruction],True,112.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,False,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
307,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,"updatePosition/2[int,int]",False,142.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
308,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,accept/1[org.apache.bcel.generic.Visitor],False,301.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
309,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,"addAttribute/2[java.lang.Object,java.lang.Object]",False,256.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
310,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,addTargeter/1[org.apache.bcel.generic.InstructionTargeter],False,209.0,1.0,1.0,1.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
311,/groups/ilabt-imec-be/software-performance/ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,class,8,62,54,8,41,1,1,19,207,0.8241759,0.0,0.0,26,1,18,0,3,5,26,0,5,0,7,1,0,6,1,0,0,0,1,137,18,0,12,0,4,4,8,22,2,10,1,0,0,0,189,1,0,toString/0,False,246.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,True,5bfa4baa2b7b2cc3dc4cc2600bbcd5d74df7451c,commons-bcel
