,commit_hash,class_name,active,available,cached ,cpu_percent, free,inactive,mem_percent,minor_faults,read_count,rss,used,used_percent,PROJECT_NAME,CURRENT_COMMIT,PREVIOUS_COMMIT,CLASS_CURRENTCOMMIT,CLASS_PREVIOUSCOMMIT,STATEMENT_DELETE,STATEMENT_INSERT,STATEMENT_ORDERING_CHANGE,STATEMENT_PARENT_CHANGE,STATEMENT_UPDATE,TOTAL_STATEMENTLEVELCHANGES,PARENT_CLASS_CHANGE,PARENT_CLASS_DELETE,PARENT_CLASS_INSERT,CLASS_RENAMING,TOTAL_CLASSDECLARATIONCHANGES,RETURN_TYPE_CHANGE,RETURN_TYPE_DELETE,RETURN_TYPE_INSERT,METHOD_RENAMING,PARAMETER_DELETE,PARAMETER_INSERT,PARAMETER_ORDERING_CHANGE,PARAMETER_RENAMING,PARAMETER_TYPE_CHANGE,TOTAL_METHODDECLARATIONSCHANGES,ATTRIBUTE_RENAMING,ATTRIBUTE_TYPE_CHANGE,TOTAL_ATTRIBUTEDECLARATIONCHANGES,ADDING_ATTRIBUTE_MODIFIABILITY,REMOVING_ATTRIBUTE_MODIFIABILITY,REMOVING_CLASS_DERIVABILITY,REMOVING_METHOD_OVERRIDABILITY,ADDING_CLASS_DERIVABILITY,ADDING_CLASS_DERIVABILITY,ADDING_METHOD_OVERRIDABILITY,TOTAL_DECLARATIONPARTCHANGES,TOTAL_CHANGES
10,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/CodeException.java,7820384069.8182,43746085794.9091,42103517928.7273,16.54669012841258,937958679.2727,39725248884.3636,1.2627843022346497,1811572.5455,90226.7273,638761146.1818,6255859525.8182,12.367378878055424,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/CodeException.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/CodeException.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/Constant.java,7582712545.7298,44002625978.2131,42599600701.54,25.706089829369144,698346806.8862,40195782312.2509,1.154628305118065,1163407.256,64594.0433,584052646.5328,5999348440.1084,11.860275134708496,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/Constant.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/Constant.java,2.0,0.0,0.0,0.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
12,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ConstantClass.java,7684841140.981,43915695425.6641,42565258514.1701,23.09952485083559,645968703.8651,40147090730.6367,1.3584382277052751,1139236.6627,54971.9821,687146307.1033,6086279825.7203,12.0321321557654,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantClass.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantClass.java,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ConstantDouble.java,7678129493.3333,43900760064.0,42501401258.6667,39.49624056327941,696046933.3333,40103725738.6667,1.2334750294685364,483193.0,22892.0,623935488.0,6101221376.0,12.061670512976232,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantDouble.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantDouble.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ConstantFloat.java,7333737813.3333,44280750080.0,42650139306.6667,42.60736886708387,927614293.3333,40222464682.6667,1.0797927379608154,425383.0,20434.6667,546197504.0,5721229994.6667,11.310455214111231,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantFloat.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantFloat.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ConstantInteger.java,7636085881.4915,43936317995.3898,42494193594.5763,26.545336763112346,737636004.8814,40105252829.2881,1.2170339741949308,1084375.0,62420.7966,615619011.2542,6065656224.5424,11.99136079756196,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantInteger.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantInteger.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ConstantInterfaceMethodref.java,7560770924.4746,43990154199.5028,42738500903.0508,23.652058472779167,545661946.2147,40368238568.8588,1.1245586693623646,780001.1525,37010.3955,568841719.322,6011823213.9209,11.884936854416434,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantInterfaceMethodref.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantInterfaceMethodref.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ConstantInvokeDynamic.java,7789169273.4421,43736369295.7875,42268223950.4516,20.515304457373336,764071881.5939,39929576430.5123,1.2893840844762394,1508161.8463,70257.0873,652216269.4801,6265602257.852,12.38663955004978,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantInvokeDynamic.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantInvokeDynamic.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ConstantLong.java,7386991274.6667,44214707541.3333,42540262741.3333,41.13428587787296,971481088.0,40116580352.0,1.0878955920537312,438557.6667,20354.6667,550296234.6667,5787273898.6667,11.441019204556191,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantLong.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantLong.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,src/main/java/org/apache/bcel/classfile/ConstantMethodHandle.java,7708691309.7143,43829741860.5714,42254989019.4286,18.049607186768583,870754596.5714,39908393545.1429,1.0629510538918632,1115443.4286,51702.7143,537678409.1429,6172236068.5714,12.202061390571046,commons-bcel,9cd000cc265bfd0997e0277363dbe28ed8a28714,3aecd517ad0ac4c83828a5f89b6b062acb6f4f6a,/groups/ilabt-imec-be/software-performance/changedistiller/projectA/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantMethodHandle.java,/groups/ilabt-imec-be/software-performance/changedistiller/projectB/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantMethodHandle.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
